Music_City,Sound/Music_City
Person_Sound_Honour1_ch,Sound/Person_Sound_Honour1_ch
Person_Sound_Honour1_en,Sound/Person_Sound_Honour1_en
Person_Sound_Honour2_ch,Sound/Person_Sound_Honour2_ch
Person_Sound_Honour2_en,Sound/Person_Sound_Honour2_en
Person_Sound_Idle_Coin_ch,Sound/Person_Sound_Idle_Coin_ch
Person_Sound_Idle_Coin_en,Sound/Person_Sound_Idle_Coin_en
Person_Sound_Injured_ch,Sound/Person_Sound_Injured_ch
Person_Sound_Injured_en,Sound/Person_Sound_Injured_en
Person_Sound_Missile_ch,Sound/Person_Sound_Missile_ch
Person_Sound_Missile_en,Sound/Person_Sound_Missile_en
Person_Sound_Plane_Is_Good_Condition_ch,Sound/Person_Sound_Plane_Is_Good_Condition_ch
Person_Sound_Plane_Is_Good_Condition_en,Sound/Person_Sound_Plane_Is_Good_Condition_en
Person_Sound_Shield_ch,Sound/Person_Sound_Shield_ch
Person_Sound_Shield_en,Sound/Person_Sound_Shield_en
Person_Sound_Speed_Up_ch,Sound/Person_Sound_Speed_Up_ch
Person_Sound_Speed_Up_en,Sound/Person_Sound_Speed_Up_en
Person_Sound_Time_Add_ch,Sound/Person_Sound_Time_Add_ch
Person_Sound_Time_Add_en,Sound/Person_Sound_Time_Add_en
Person_Sound_Warn_City_ch,Sound/Person_Sound_Warn_City_ch
Person_Sound_Warn_City_en,Sound/Person_Sound_Warn_City_en
Person_Sound_Warn_Gorge_ch,Sound/Person_Sound_Warn_Gorge_ch
Person_Sound_Warn_Gorge_en,Sound/Person_Sound_Warn_Gorge_en
Person_Soune_Mission_Complete_ch,Sound/Person_Soune_Mission_Complete_ch
Person_Soune_Mission_Complete_en,Sound/Person_Soune_Mission_Complete_en
SFX_SABC_Sound,Sound/SFX_SABC_Sound
SFX_Sound_Boss_Warning,Sound/SFX_Sound_Boss_Warning
SFX_Sound_Bullet,Sound/SFX_Sound_Bullet
SFX_Sound_City_Boss_Dead,Sound/SFX_Sound_City_Boss_Dead
SFX_Sound_Door_Boom,Sound/SFX_Sound_Door_Boom
SFX_Sound_Dragon_Thunder,Sound/SFX_Sound_Dragon_Thunder
SFX_Sound_Enemy_Plane_Destroy,Sound/SFX_Sound_Enemy_Plane_Destroy
SFX_Sound_GuangGao,Sound/SFX_Sound_GuangGao
SFX_Sound_Ice,Sound/SFX_Sound_Ice
SFX_Sound_Insert_Coin,Sound/SFX_Sound_Insert_Coin
SFX_Sound_Missile,Sound/SFX_Sound_Missile
SFX_Sound_Missile_Boom,Sound/SFX_Sound_Missile_Boom
SFX_Sound_Monster_Dead,Sound/SFX_Sound_Monster_Dead
SFX_Sound_Open_Door,Sound/SFX_Sound_Open_Door
SFX_Sound_Repair,Sound/SFX_Sound_Repair
SFX_Sound_Robot_Attack,Sound/SFX_Sound_Robot_Attack
SFX_Sound_Robot_Dead,Sound/SFX_Sound_Robot_Dead
SFX_Sound_Select_Map,Sound/SFX_Sound_Select_Map
SFX_Sound_Select_Plane,Sound/SFX_Sound_Select_Plane
SFX_Sound_Stone_Crush,Sound/SFX_Sound_Stone_Crush
SFX_Sound_Stone_Destroy,Sound/SFX_Sound_Stone_Destroy
SFX_Sound_Success,Sound/SFX_Sound_Success
SFX_Sound_Sure,Sound/SFX_Sound_Sure
SFX_Sound_Trigger_Coin,Sound/SFX_Sound_Trigger_Coin
SFX_Sound_Trigger_Damage,Sound/SFX_Sound_Trigger_Damage
SFX_Sound_Trigger_Diamon,Sound/SFX_Sound_Trigger_Diamon
SFX_Sound_Trigger_Fuel,Sound/SFX_Sound_Trigger_Fuel
SFX_Sound_Trigger_Magent,Sound/SFX_Sound_Trigger_Magent
SFX_Sound_Trigger_Missile,Sound/SFX_Sound_Trigger_Missile
SFX_Sound_Trigger_PowerGrid,Sound/SFX_Sound_Trigger_PowerGrid
SFX_Sound_Trigger_Shield,Sound/SFX_Sound_Trigger_Shield
SFX_Stone_Fly,Sound/SFX_Stone_Fly
